Temperature (°C),Output voltage (V),Coarse code,Fine code,Timestamp (ns),Minimum power (uW),Maximum power (uW),Average power (uW),Sleep min power (uW),Sleep avg power (uW),Sleep max power (uW),Voltage supply (V),Process corner
38.0,0.908312,0.01,0.001,299302.0,-0.8753040395999979,110.63617344000001,84.43441913736318,-0.8753040395999979,0.022140790271580515,0.024998832000002285,1.8,Typical
39.0,0.908711,0.01,0.001,299302.0,-0.9435664583999999,110.28408497999999,84.12471880824884,-0.9435664583999999,0.02195949903336012,0.024998463000000234,1.8,Typical
40.0,0.909103,0.01,0.001,299302.0,-0.9653447303999998,109.92764491200002,82.82827451513835,-0.9653447303999998,0.02190159903937774,0.024997762800000024,1.8,Typical
41.0,0.909498,0.01,0.001,365302.0,-0.9791945639999998,109.566594711,82.88714315683458,-0.9791945639999998,0.02191072060467853,0.024999267599999948,1.8,Typical
42.0,0.9099,0.01,0.001,299402.0,-0.9902158379999999,109.42820820000001,83.19151456070512,-0.9902158379999999,0.02189680680782933,0.024999433199999917,1.8,Typical
43.0,0.910302,0.01,0.001,299402.0,-0.9999191268000004,109.10259558,82.90395706582778,-0.9999191268000004,0.021871167006065333,0.024998799600000007,1.8,Typical
44.0,0.910701,0.01,0.001,299402.0,-1.0088279369999993,108.95783058,82.59820457841495,-1.0088279369999993,0.021895860249960188,0.024998414400002195,1.8,Typical
45.0,0.911106,0.01,0.001,299402.0,-1.0173298824000003,108.70102134000001,81.31904767253039,-1.0173298824000003,0.02188368268648746,0.024998407200000083,1.8,Typical
46.0,0.911511,0.01,0.001,299402.0,-1.0254955175999998,108.4408092,81.98884104345082,-1.0254955175999998,0.02189005279286073,0.024999238799999452,1.8,Typical
47.0,0.911921,0.01,0.001,299402.0,-1.0333953665999998,108.17112546,81.68840402887007,-1.0333953665999998,0.02191700008545451,0.024999402599999904,1.8,Typical
48.0,0.912324,0.01,0.001,299402.0,-1.0417431870000002,107.87928642000001,81.37924131882903,-1.0417431870000002,0.02190674297455679,0.02499913980000051,1.8,Typical
49.0,0.912729,0.01,0.001,299402.0,-1.0497162024000002,107.58596058,81.05853005106036,-1.0497162024000002,0.021893061465335185,0.024999658200000035,1.8,Typical
50.0,0.913136,0.01,0.001,299402.0,-1.0574101674,107.28764658,79.80031226199094,-1.0574101674,0.021883549361644498,0.02499922620000018,1.8,Typical
51.0,0.913548,0.01,0.001,304402.0,-1.0648449269999998,106.98272046000002,80.47212955725068,-1.0648449269999998,0.02190546686318176,0.024999975000000264,1.8,Typical
52.0,0.913959,0.01,0.001,299402.0,-1.0721780496000002,106.67646108000001,80.38432778837839,-1.0721780496000002,0.021903270718194506,0.024999183000000275,1.8,Typical
53.0,0.914375,0.01,0.001,299402.0,-1.0793249352,106.36779996000001,80.0882440820622,-1.0793249352,0.021903023134496356,0.024999156000000185,1.8,Typical
54.0,0.91479,0.01,0.001,299402.0,-1.0864145988000005,106.0569036,79.78473616526712,-1.0864145988000005,0.021891392815508608,0.024999978599999625,1.8,Typical
55.0,0.915208,0.01,0.001,299402.0,-1.0933692282,105.74048286000001,78.57966690982208,-1.0933692282,0.021879302129884936,0.02499981120000005,1.8,Typical
56.0,0.915626,0.01,0.001,299402.0,-1.1002411277999997,105.42264642,79.1860862103447,-1.1002411277999997,0.02185907328657747,0.02499987960000002,1.8,Typical
57.0,0.916041,0.01,0.001,299402.0,-1.1175658722000004,105.2704026,78.86953076855139,-1.1175658722000004,0.021807674598664922,0.024999859799999972,1.8,Typical
58.0,0.916464,0.01,0.001,299402.0,-1.1251520874000003,104.90495598,78.56353457890086,-1.1251520874000003,0.021742026664758288,0.02499997139999977,1.8,Typical
