Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns)
0.910302,Typical,1.8,43.0,0.01,0.001,299402.0,82.90395706582778,-0.9999191268000004,109.10259558,0.023743344600000008,0.0010419999999999874,0.727452,128700.0
0.910701,Typical,1.8,44.0,0.01,0.001,299402.0,82.59820457841495,-1.0088279369999993,108.95783058,0.023817630600002197,0.0010390000000000121,0.72559,128700.0
0.911106,Typical,1.8,45.0,0.01,0.001,299402.0,81.31904767253039,-1.0173298824000003,108.70102134000001,0.02382921360000008,0.0010299999999999754,0.72373,128700.0
0.911511,Typical,1.8,46.0,0.01,0.001,299402.0,81.98884104345082,-1.0254955175999998,108.4408092,0.02387248379999945,0.0010219999999999674,0.721874,128700.0
0.911921,Typical,1.8,47.0,0.01,0.001,299402.0,81.68840402887007,-1.0333953665999998,108.17112546,0.02396012940000003,0.0010090000000000376,0.720019,128700.0
0.912324,Typical,1.8,48.0,0.01,0.001,299402.0,81.37924131882903,-1.0417431870000002,107.87928642000001,0.02397856140000051,0.0010020000000000584,0.718167,128700.0
0.912729,Typical,1.8,49.0,0.01,0.001,299402.0,81.05853005106036,-1.0497162024000002,107.58596058,0.02398822200000006,0.0009949999999999681,0.716318,128700.0
0.913136,Typical,1.8,50.0,0.01,0.001,299402.0,79.80031226199094,-1.0574101674,107.28764658,0.024007815000000182,0.0009860000000000424,0.71447,128700.0
0.913548,Typical,1.8,51.0,0.01,0.001,304402.0,80.47212955725068,-1.0648449269999998,106.98272046000002,0.02410367400000026,0.0009789999999999521,0.712625,128700.0
0.913959,Typical,1.8,52.0,0.01,0.001,299402.0,80.38432778837839,-1.0721780496000002,106.67646108000001,0.024150261599999664,0.0009669999999999401,0.710781,128700.0
0.914375,Typical,1.8,53.0,0.01,0.001,299402.0,80.0882440820622,-1.0793249352,106.36779996000001,0.024221437200000185,0.0009550000000000392,0.70894,128700.0
0.91479,Typical,1.8,54.0,0.01,0.001,299402.0,79.78473616526712,-1.0864145988000005,106.0569036,0.024251515199999622,0.0009390000000000231,0.7071,128700.0
0.915208,Typical,1.8,55.0,0.01,0.001,299402.0,78.57966690982208,-1.0933692282,105.74048286000001,0.02431273500000013,0.0009330000000000727,0.705262,128700.0
0.915626,Typical,1.8,56.0,0.01,0.001,299402.0,79.1860862103447,-1.1002411277999997,105.42264642,0.02437098660000002,0.0009169999999999456,0.703426,128700.0
0.916041,Typical,1.8,57.0,0.01,0.001,299402.0,78.86953076855139,-1.1175658722000004,105.2704026,0.024430172400000102,0.0009109999999999951,0.701591,128700.0
0.916464,Typical,1.8,58.0,0.01,0.001,299402.0,78.56353457890086,-1.1251520874000003,104.90495598,0.024517722599999816,0.0008949999999999791,0.699758,128700.0
0.916882,Typical,1.8,59.0,0.01,0.001,299402.0,78.26117084008268,-1.1327257656000007,104.53675032,0.024595221599999485,0.0008859999999999424,0.697926,128700.0
0.917309,Typical,1.8,60.0,0.01,0.001,299402.0,77.09872873963877,-1.1399282135999993,104.1693534,0.024633829799999236,0.0008690000000000087,0.696095,128700.0
0.917733,Typical,1.8,61.0,0.01,0.001,299402.0,77.6565922571458,-1.1469898710000002,103.79876399999999,0.024694203599999937,0.0008580000000000254,0.694266,128700.0
0.918154,Typical,1.8,62.0,0.01,0.001,299402.0,77.31288942336654,-1.1538966797999999,103.42674720000001,0.024763989599999946,0.0008440000000000669,0.692438,128700.0
0.918583,Typical,1.8,63.0,0.01,0.001,299302.0,76.2071149772918,-1.1606331725999999,102.89340539999999,0.024940119599999876,0.0008289999999999687,0.690611,128700.0
0.91901,Typical,1.8,64.0,0.01,0.001,302402.0,76.68264147026171,-1.1673488034000004,102.5510076,0.024980065199999957,0.0008190000000000142,0.688785,128700.0
0.919443,Typical,1.8,65.0,0.01,0.001,304402.0,75.5242075837552,-1.1739474576,102.18488219999999,0.02502969839999997,0.0007979999999999654,0.68696,128700.0
0.919872,Typical,1.8,66.0,0.01,0.001,306302.0,76.12418992657084,-1.1803904909999998,101.814786,0.02517322500000009,0.0007850000000000357,0.685136,128700.0
0.920302,Typical,1.8,67.0,0.01,0.001,272302.0,75.85352879485748,-1.1867702777999996,101.44409040000001,0.02524233779999936,0.0007769999999999166,0.683313,128700.0
0.920743,Typical,1.8,68.0,0.01,0.001,272302.0,74.93279477353781,-1.1930427684000002,101.07758700000001,0.025399567799998798,0.0007529999999998926,0.681491,128700.0
