Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns),monte carlo run
0.876524,ttmm,1.8,80.0,0.011,0.006,556902.0,69.79176245322483,0.02690853120000005,101.49155100000002,0.026954055000000022,0.009593999999999991,0.657563,61997.0,4
0.898853,ttmm,1.8,80.0,0.011,0.005,542702.0,71.29041903863832,-1.1474072244000002,102.49810560000002,0.029691178199999953,0.00568499999999994,0.662154,61900.0,5
0.918414,ttmm,1.8,80.0,0.011,0.004,600000.0,72.12266364729382,-1.234950894,104.8475178,0.02647005300000335,0.005342999999999987,0.661509,57298.0,6
0.977741,ttmm,1.8,80.0,0.011,0.001,468902.0,80.10016090101482,-1.2615302321999997,106.0518816,0.026116392600000177,-0.003567000000000098,0.666993,127600.0,7
0.89244,ttmm,1.8,80.0,0.011,0.005,542902.0,69.9804555183516,0.025977918600001156,100.252899,0.026023993199999977,0.005824999999999969,0.659726,62000.0,8
0.92854,ttmm,1.8,80.0,0.013,0.004,525605.0,76.6171344438759,-1.5326113354200015,104.13076860000001,0.026641920599999733,0.0019199999999999218,0.666957,61803.0,9
0.929597,ttmm,1.8,80.0,0.012,0.005,540505.0,74.41767428614088,-1.3647113225999998,103.73853600000001,0.02806697160000065,0.0017280000000000628,0.664711,61903.0,10
0.944858,ttmm,1.8,80.0,0.013,0.004,526505.0,75.99493693784584,-1.538610921719999,103.62674159999999,0.026532883800000143,0.0007159999999999389,0.663939,61803.0,11
0.903138,ttmm,1.8,80.0,0.011,0.005,536905.0,72.59230252566608,0.029468388600001096,102.0346146,0.02951628120000225,0.004840999999999984,0.661525,62003.0,12
0.89723,ttmm,1.8,80.0,0.011,0.006,556902.0,70.03578595262773,0.026161218000000007,101.6968482,0.026208118799997765,0.007584999999999953,0.661131,61997.0,13
0.875268,ttmm,1.8,80.0,0.011,0.006,557505.0,69.58984214345088,0.02893169159999882,99.89361234,0.0289790514000023,0.008147999999999933,0.658446,62102.99999999994,14
0.911632,ttmm,1.8,80.0,0.01,0.008,532802.0,69.02104155578024,-1.0669992389999978,101.6525034,0.027995518800002304,0.00037200000000003897,0.661968,62700.0,15
0.927722,ttmm,1.8,80.0,0.012,0.004,600000.0,75.17806378661308,-1.3314136194,100.89016560000002,0.027795459600000082,0.0063429999999999875,0.666068,54495.0,16
0.905127,ttmm,1.8,80.0,0.012,0.007,581305.0,75.36473749444457,0.026361557999999993,103.05501534000001,0.026853384600003496,0.0031119999999998926,0.661688,62103.00000000006,17
0.925802,ttmm,1.8,80.0,0.011,0.004,600000.0,72.42162922521959,0.026808231600001155,102.6327042,0.026856603000003434,0.0026919999999999167,0.663282,56098.0,18
1.01115,ttmm,1.8,80.0,0.009,0.006,574205.0,81.15692260690925,-0.8555492124000004,113.236503426,0.02751038279999983,-0.007197000000000009,0.672954,61703.00000000006,19
,ttmm,1.8,80.0,,,,73.32175168150862,44.198928,91.67761620000002,,,,,20
0.930549,ttmm,1.8,80.0,0.011,0.002,581002.0,72.87487247104899,-1.091025252,103.4843868,0.02727017099999891,-0.0003330000000000277,0.663833,60596.99999999994,21
0.918435,ttmm,1.8,80.0,0.011,0.004,600000.0,70.9100733172488,-1.2518184564000001,101.6142624,0.02680726499999988,0.004999000000000087,0.663082,56698.0,22
0.909877,ttmm,1.8,80.0,0.012,0.009,533205.0,74.9215857593911,-1.3976547209999999,100.29133259999999,0.026320332600000152,0.004085999999999923,0.662954,62003.0,23
0.890018,ttmm,1.8,80.0,0.011,0.004,600000.0,71.06520959056142,-1.2338441298,101.669472,0.027787924799999773,0.010046,0.661326,56698.0,24
0.917164,ttmm,1.8,80.0,0.013,0.008,517204.99999999994,77.49862255493072,0.028007872199999992,100.370205,0.028054821599999995,0.00026799999999993496,0.660942,,25
0.926394,ttmm,1.8,80.0,0.011,0.004,600000.0,71.4870561947015,-1.2094867548000001,104.38252560000001,0.0271426158000024,0.0016009999999999636,0.662434,57298.0,26
0.942971,ttmm,1.8,80.0,0.011,0.004,600000.0,72.88297085957223,-1.202894244,102.88765314,0.027090795600000148,0.001282999999999923,0.667589,56698.0,27
0.952448,ttmm,1.8,80.0,0.011,0.004,600000.0,72.18122944388666,-1.2577455198000005,105.53762340000002,0.02879044380000056,-0.0011720000000000619,0.664438,57298.0,28
0.923373,ttmm,1.8,80.0,0.013,0.004,525702.0,77.74847782193112,-1.5499414623600003,101.0006676,0.026330130000000028,0.0031289999999999374,0.661901,61900.0,29
0.970584,ttmm,1.8,125.0,0.01,0.006,568305.0,63.69667296414406,-1.161174168,102.22909379999999,0.0523734767999999,0.0004849999999999577,0.587603,61802.99999999994,0
0.954472,ttmm,1.8,125.0,0.009,0.007,555502.0,66.59567098765721,-0.9324503909999998,105.03071100000001,0.05104540619999989,6.499999999998174e-05,0.583862,61799.99999999994,1
0.942064,ttmm,1.8,125.0,0.01,0.004,600000.0,64.63849765473493,-1.1075604912000008,100.9046826,0.04038181380000022,-0.0004709999999999992,0.58097,58295.0,2
0.821012,ttmm,1.8,125.0,0.01,0.004,563402.0,58.7269974001657,-1.1088620531999998,93.63175919999999,0.04860820980000014,0.013633000000000006,0.569098,61897.00000000006,3
0.902746,ttmm,1.8,125.0,0.011,0.004,536305.0,60.229028799460835,-1.2803709671999994,111.7843668,0.048054648600002546,0.004998000000000058,0.577971,61903.0,4
0.931359,ttmm,1.8,125.0,0.011,0.004,600000.0,60.81737627796238,-1.1866184766000005,96.69070260000001,0.06257352059999738,0.0001100000000000545,0.581167,57298.0,5
0.905688,ttmm,1.8,125.0,0.01,0.007,551405.0,61.41367690416069,-1.0979734553999985,98.1887724,0.04530038220000109,0.009915000000000007,0.580766,61903.00000000006,6
1.00109,ttmm,1.8,125.0,0.01,0.008,529005.0,63.67571798674352,-1.1554398972000002,102.630393,0.04371781500000218,-0.0038249999999999673,0.587097,62903.0,7
0.906423,ttmm,1.8,125.0,0.011,0.004,600000.0,59.124196220413744,-1.2294545760000002,97.23948480000001,0.043085003399999815,0.004125999999999963,0.579992,56698.0,8
,ttmm,1.8,125.0,,,,68.19184208455674,36.5766174,91.57498740000001,,,,,9
,ttmm,1.8,125.0,,,,69.05537191276156,37.0341018,93.79521000000001,,,,,10
0.91497,ttmm,1.8,125.0,0.012,0.007,581305.0,62.648322759960145,0.04584852000000003,91.17423540000001,0.04620344759999999,0.002798999999999996,0.577992,62103.00000000006,11
0.926942,ttmm,1.8,125.0,0.011,0.004,600000.0,61.47157119161775,-1.2546899982000006,97.87874580000002,0.06068271780000001,0.0018049999999999455,0.5833,56698.0,12
0.894695,ttmm,1.8,125.0,0.011,0.004,600000.0,58.72749644301196,0.04387431780000229,97.63853579999999,0.04407866640000229,0.005674999999999986,0.577114,56098.0,13
0.880682,ttmm,1.8,125.0,0.011,0.006,557505.0,58.5060148450411,0.057955658400002254,94.7545758,0.05815345320000226,0.006368999999999958,0.576242,62102.99999999994,14
0.865881,ttmm,1.8,125.0,0.01,0.003,572705.0,61.53236646298848,-1.0984032251999998,97.5979782,0.053290818000000205,0.007770999999999972,0.574928,60700.00000000006,15
0.904709,ttmm,1.8,125.0,0.011,0.007,578102.0,61.29380930436136,0.052010883,96.75640800000001,0.0520217478,0.0011950000000000571,0.575039,62199.99999999994,16
