Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns),monte carlo run
0.894189,Fast-Fast,1.7,80.0,0.0127059,0.00741176,580705.0,82.1339340815957,-1.3040622378000006,114.1601901,0.033487645499999996,0.008043000000000022,0.655273,62000.00000000006,0
0.97819,Fast-Fast,1.9,80.0,0.00947368,0.00757895,528805.0,97.80279422607947,-0.9954453276499997,160.09107399999996,0.18607486030000017,-0.005715000000000026,0.661855,61703.0,0
0.887086,Fast-Slow,1.7,80.0,0.0137647,0.00635294,564805.0,60.96862651579348,0.01519411311999902,82.2096659,0.052585690299998794,0.007623999999999964,0.673561,61999.99999999994,0
0.927421,Fast-Slow,1.9,80.0,0.0104211,0.00378947,600000.0,74.90060091263938,0.1255147447999999,114.06421619999999,0.43838620199999995,0.0016100000000000003,0.677365,57298.0,0
0.921618,Slow-Fast,1.7,80.0,0.0127059,0.00423529,600000.0,75.88166415179579,-0.03668207469999998,98.55534779999999,0.022030781100000004,0.005210000000000048,0.656755,53595.0,0
0.940951,Slow-Fast,1.9,80.0,0.00947368,0.00189474,562705.0,93.37265793677398,0.027739122199999997,132.12207954,0.027801814600000033,0.0005889999999999507,0.655941,63700.00000000006,0
0.918464,Slow-Slow,1.7,80.0,0.0127059,0.00952941,533902.0,57.12507099673475,-0.9139767240700002,77.04231734,0.02094144319999996,0.0005370000000000097,0.672803,62400.0,0
0.953323,Slow-Slow,1.9,80.0,0.00947368,0.00663158,549002.0,66.43098421051057,-1.0528230429,100.4994911,0.02680972390000236,0.0027959999999999097,0.680015,62900.0,0
0.887631,Typical,1.8,80.0,0.011,0.005,536905.0,70.29866581543988,0.02697970499999999,100.4496372,0.027027664200002244,0.007405999999999913,0.659015,62003.0,0
0.901745,Fast-Fast,1.7,125.0,0.0127059,0.00529412,540402.0,68.35576846465386,-1.2436149552999973,95.8522934,0.08142416050000238,0.0050760000000000804,0.574055,61900.0,0
